"","Ozone","Solar.R","Wind","Temp","Month","Day"
"32",NA,286,8.6,78,6,1
"33",NA,287,9.7,74,6,2
"34",NA,242,16.1,67,6,3
"35",NA,186,9.2,84,6,4
"36",NA,220,8.6,85,6,5
"37",NA,264,14.3,79,6,6
"38",29,127,9.7,82,6,7
"39",NA,273,6.9,87,6,8
"40",71,291,13.8,90,6,9
"41",39,323,11.5,87,6,10
"42",NA,259,10.9,93,6,11
"43",NA,250,9.2,92,6,12
"44",23,148,8,82,6,13
"45",NA,332,13.8,80,6,14
"46",NA,322,11.5,79,6,15
"47",21,191,14.9,77,6,16
"48",37,284,20.7,72,6,17
"49",20,37,9.2,65,6,18
"50",12,120,11.5,73,6,19
"51",13,137,10.3,76,6,20
"52",NA,150,6.3,77,6,21
"53",NA,59,1.7,76,6,22
"54",NA,91,4.6,76,6,23
"55",NA,250,6.3,76,6,24
"56",NA,135,8,75,6,25
"57",NA,127,8,78,6,26
"58",NA,47,10.3,73,6,27
"59",NA,98,11.5,80,6,28
"60",NA,31,14.9,77,6,29
"61",NA,138,8,83,6,30
