"","Ozone","Solar.R","Wind","Temp","Month","Day"
"93",39,83,6.9,81,8,1
"94",9,24,13.8,81,8,2
"95",16,77,7.4,82,8,3
"96",78,NA,6.9,86,8,4
"97",35,NA,7.4,85,8,5
"98",66,NA,4.6,87,8,6
"99",122,255,4,89,8,7
"100",89,229,10.3,90,8,8
"101",110,207,8,90,8,9
"102",NA,222,8.6,92,8,10
"103",NA,137,11.5,86,8,11
"104",44,192,11.5,86,8,12
"105",28,273,11.5,82,8,13
"106",65,157,9.7,80,8,14
"107",NA,64,11.5,79,8,15
"108",22,71,10.3,77,8,16
"109",59,51,6.3,79,8,17
"110",23,115,7.4,76,8,18
"111",31,244,10.9,78,8,19
"112",44,190,10.3,78,8,20
"113",21,259,15.5,77,8,21
"114",9,36,14.3,72,8,22
"115",NA,255,12.6,75,8,23
"116",45,212,9.7,79,8,24
"117",168,238,3.4,81,8,25
"118",73,215,8,86,8,26
"119",NA,153,5.7,88,8,27
"120",76,203,9.7,97,8,28
"121",118,225,2.3,94,8,29
"122",84,237,6.3,96,8,30
"123",85,188,6.3,94,8,31
